Value Bets,Value Players,ratio_bets_players
113475.14,6638,1709.4778547755348
146116.7,9832,1486.1340520748577
113705.5,6118,1858.5403726708075
86711.5,4921,1762.070717333875
211734.82,10198,2076.238674249853
88664.59999999999,6314,1404.2540386442824
114454.3,8020,1427.1109725685785
163362.06,10085,1619.851859196827
182369.56,11024,1654.2957184325107
120002.90000000001,7058,1700.2394446018702
201616.6,13867,1453.9309151222326
61619.3,3712,1660.0026939655172
130559.29,6698,1949.2279785010448
130961.99,8894,1472.4757139644705
108534.59999999999,7233,1500.5474906677725
72882.70000000001,3401,2142.9785357247874
97142.6,6995,1388.7433881343818
120096.90000000001,7405,1621.8352464550983
86896.16,5399,1609.486201148361
122618.59,6665,1839.7387846961738
80911.2,5519,1466.0481971371623
217253.22,10706,2029.2660190547356
153602.80000000002,13713,1120.1254284255817
174753.82,7449,2346.003758893811
154105.33,10572,1457.6743284146803
78141.67,4492,1739.5741317898487
84147.6,6110,1377.2111292962356
135199.15,8866,1524.9170990300022
225136.6,12682,1775.245229459076
105609.78,7131,1480.9953723180479
203113.93,10631,1910.5816009782711
142768.95,9653,1479.011188231638
111451.6,7704,1446.6718587746627
183423.30000000002,8407,2181.7925538241943
121110.1,6909,1752.9324070053556
91155.8,6070,1501.7429983525537
163999.52,10356,1583.618385477018
95393.5,4157,2294.7678614385372
69490.48,3882,1790.0690365790829
121404.1,6888,1762.5450058072008
155622.61,7322,2125.4112264408627
142322.7,8578,1659.1594777337377
160237.5,12785,1253.324208056316
97052.34,4576,2120.899038461538
156327.47,7755,2015.8281108961962
96990.6,6261,1549.1231432678487
228810.68,12678,1804.785297365515
253338.77,11716,2162.331597814954
91832.90000000001,5545,1656.1388638412986
113011.49,5144,2196.9574261275275
123823.74,6834,1811.8779631255488
147771.35,10396,1421.4250673335898
221814.15,13542,1637.9718653079308
118474.62,5148,2301.3717948717945
120298.85,6735,1786.1744617668894
265518.53,14103,1882.7095653407077
158854.8,12483,1272.569093967796
66527.2,3535,1881.95756718529
94622.88,5868,1612.523517382413
182526.5,8002,2281.010997250687
73960.93,4371,1692.082589796385
116591.5,8040,1450.1430348258707
163775.7,9794,1672.2044108637942
200232.8,10253,1952.9191456159172
153484.3,7552,2032.3662605932202
151178.5,8078,1871.4842782867045
158393.9,8830,1793.815402038505
92755.1,5369,1727.604768113243
217978.66,11832,1842.28076402975
191650.2,10975,1746.2432801822324
139136.1,7681,1811.4321051946363
186051.6,9604,1937.2303206997085
181056.4,10965,1651.221158230734
109763.8,6349,1728.836037171208
169861.98,11085,1532.3588633288227
151474.69999999998,10074,1503.6202104427236
137164.11,8817,1555.677781558353
139589.67,10139,1376.759739619292
241489.89,12637,1910.974835799636
192200.40000000002,10112,1900.7159810126584
162952.62,7280,2238.3601648351646
131526.25,8868,1483.1557284618855
136982.37,7274,1883.1780313445147
137197.79,9550,1436.6260732984294
169964.45,10059,1689.6754150511981
100520.87,4759,2112.2267283042656
130399.18,5007,2604.3375274615537
95261.0,7321,1301.202021581751
178290.87,10169,1753.2782967843445
96348.4,6128,1572.2650130548302
162341.63,6350,2556.5611023622046
70742.1,3587,1972.18009478673
190609.93,9611,1983.2476329206115
242704.83,10198,2379.9257697587764
115623.3,7675,1506.4925081433225
105215.81,6103,1724.0014746845811
247299.75,14205,1740.934530095037
201834.4,11886,1698.085142184082
126818.79,6804,1863.8858024691356
232081.19999999998,9411,2466.0631176283073
84225.59999999999,5970,1410.8140703517586
128100.33,5958,2150.055891238671
150882.09999999998,12251,1231.5900742796505
90640.54,4832,1875.838990066225
113784.7,6608,1721.923426150121
157710.63,9776,1613.242941898527
194786.24,9608,2027.3338884263112
116352.46,5240,2220.4667938931298
236695.2,14057,1683.8244291100518
112376.99,6035,1862.087655343828
176789.62,11405,1550.1062691801842
208834.1,15560,1342.1214652956298
175381.72,11101,1579.8731645797677
140280.05,8963,1565.1015285060805
138166.3,9071,1523.165031418807
113661.7,5826,1950.9388946103672
182081.8,10270,1772.948393378773
124292.09999999999,6826,1820.8628772341046
89620.40000000001,7473,1199.255988224274
77231.09999999999,5387,1433.656951921292
56080.9,3096,1811.3985788113696
174135.06,7335,2374.0294478527608
120051.43,6108,1965.478552717747
108967.29,4754,2292.1180058897767
92897.4,4126,2251.5123606398447
158334.21,10632,1489.2231941309253
102815.46,5007,2053.4343918514082
152283.52,8468,1798.341048653755
159459.21,11249,1417.5412036625478
